Datetime,USGS_flow
2014-09-13,108.229164
2014-09-14,100.84583
2014-09-15,97.37187
2014-09-16,91.479164
2014-09-17,86.979164
2014-09-18,95.69271
2014-09-19,86.916664
2014-09-20,83.30521
2014-09-21,80.10833
2014-09-22,102.45417
2014-09-23,95.22708
2014-09-24,82.9125
2014-09-25,77.4
2014-09-26,73.425
2014-09-27,79.57604
2014-09-28,679.82294
2014-09-29,563.2292
2014-09-30,358.5
2014-10-01,315.70834
2014-10-02,266.33334
2014-10-03,235.51042
2014-10-04,215.59375
2014-10-05,198.4375
2014-10-06,188.28125
2014-10-07,175.51042
2014-10-08,165.4375
2014-10-09,158.78125
2014-10-10,151.45833
2014-10-11,145.03125
2014-10-12,145.25
2014-10-13,149.65625
2014-10-14,149.97917
2014-10-15,144.96875
2014-10-16,135.375
2014-10-17,127.166664
2014-10-18,122.15625
2014-10-19,115.270836
2014-10-20,111.916664
2014-10-21,110.364586
2014-10-22,113.447914
2014-10-23,104.5
2014-10-24,101.77292
2014-10-25,96.5625
2014-10-26,101.09062
2014-10-27,105.43854
2014-10-28,88.25625
2014-10-29,90.19583
2014-10-30,90.061455
2014-10-31,87.291664
2014-11-01,84.7875
2014-11-02,95.86041
2014-11-03,90.53333
2014-11-04,67.76458
2014-11-05,94.95625
2014-11-06,87.89375
2014-11-07,88.566666
2014-11-08,80.65417
2014-11-09,79.93854
2014-11-10,88.40104
2014-11-11,62.965626
2014-11-12,64.38333
2014-11-13,49.35
2014-11-14,83.68854
2014-11-15,76.55625
2014-11-16,64.79896
2014-11-17,67.41771
2014-11-18,76.21875
2014-11-19,71.85625
2014-11-20,70.6875
2014-11-21,67.842705
2014-11-22,67.64792
2014-11-23,64.38646
2014-11-24,64.28333
2014-11-25,64.40937
2014-11-26,65.08125
2014-11-27,60.7
2014-11-28,59.833332
2014-11-29,57.88646
2014-11-30,56.54375
2014-12-01,57.60625
2014-12-02,55.620834
2014-12-03,59.646873
2014-12-04,62.783333
2014-12-05,62.433334
2014-12-06,61.61667
2014-12-07,56.653126
2014-12-08,54.58229
2014-12-09,62.095833
2014-12-10,59.609375
2014-12-11,58.765625
2014-12-12,62.566666
2014-12-13,58.0
2014-12-14,57.975
2014-12-15,60.728573
2014-12-16,
2014-12-17,
2014-12-18,
2014-12-19,
2014-12-20,57.705883
2014-12-21,55.934376
2014-12-22,54.70625
2014-12-23,52.21771
2014-12-24,54.350002
2014-12-25,
2014-12-26,
2014-12-27,
2014-12-28,
2014-12-29,
2014-12-30,
2014-12-31,
2015-01-01,
2015-01-02,
2015-01-03,
2015-01-04,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-10,
2015-01-11,
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-17,
2015-01-18,
2015-01-19,
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-24,
2015-01-25,
2015-01-26,
2015-01-27,
2015-01-28,
